model,rho_nominal,rho_label,rho_effective,N,eta,eta_index,steps,base_seed,realization,returncode,elapsed_s,output_path,source_run
voter,2.0,rho_2,2.0,200,0.5,1,3000,1400117,17,0,1.8704,data/pilots/final_voter_base_coarse_v1/voter/rho_2/eta_0p5/steps_3000/realization_017_seed_1400117,final_voter_base_coarse_v1
voter,2.0,rho_2,2.0,200,0.5,1,3000,1400118,18,0,1.885,data/pilots/final_voter_base_coarse_v1/voter/rho_2/eta_0p5/steps_3000/realization_018_seed_1400118,final_voter_base_coarse_v1
voter,2.0,rho_2,2.0,200,0.5,1,3000,1400119,19,0,1.758,data/pilots/final_voter_base_coarse_v1/voter/rho_2/eta_0p5/steps_3000/realization_019_seed_1400119,final_voter_base_coarse_v1
voter,2.0,rho_2,,200,0.6,0,3000,1800000,0,0,1.7406,,final_dense_eta_grid_steps3000_R20_v1
voter,2.0,rho_2,,200,0.6,0,3000,1800001,1,0,1.5677,,final_dense_eta_grid_steps3000_R20_v1
voter,2.0,rho_2,,200,0.6,0,3000,1800002,2,0,1.6827,,final_dense_eta_grid_steps3000_R20_v1
voter,2.0,rho_2,,200,0.6,0,3000,1800003,3,0,1.6955,,final_dense_eta_grid_steps3000_R20_v1
voter,2.0,rho_2,,200,0.6,0,3000,1800004,4,0,1.6033,,final_dense_eta_grid_steps3000_R20_v1
voter,2.0,rho_2,,200,0.6,0,3000,1800005,5,0,1.7744,,final_dense_eta_grid_steps3000_R20_v1
voter,2.0,rho_2,,200,0.6,0,3000,1800006,6,0,1.8069,,final_dense_eta_grid_steps3000_R20_v1
voter,2.0,rho_2,,200,0.6,0,3000,1800007,7,0,1.5827,,final_dense_eta_grid_steps3000_R20_v1
voter,2.0,rho_2,,200,0.6,0,3000,1800008,8,0,1.8191,,final_dense_eta_grid_steps3000_R20_v1
voter,2.0,rho_2,,200,0.6,0,3000,1800009,9,0,1.6788,,final_dense_eta_grid_steps3000_R20_v1
voter,2.0,rho_2,,200,0.6,0,3000,1800010,10,0,1.6695,,final_dense_eta_grid_steps3000_R20_v1
voter,2.0,rho_2,,200,0.6,0,3000,1800011,11,0,1.6467,,final_dense_eta_grid_steps3000_R20_v1
voter,2.0,rho_2,,200,0.6,0,3000,1800012,12,0,1.7087,,final_dense_eta_grid_steps3000_R20_v1
voter,2.0,rho_2,,200,0.6,0,3000,1800013,13,0,1.6086,,final_dense_eta_grid_steps3000_R20_v1
voter,2.0,rho_2,,200,0.6,0,3000,1800014,14,0,1.6411,,final_dense_eta_grid_steps3000_R20_v1
voter,2.0,rho_2,,200,0.6,0,3000,1800015,15,0,1.854,,final_dense_eta_grid_steps3000_R20_v1
voter,2.0,rho_2,,200,0.6,0,3000,1800016,16,0,1.7558,,final_dense_eta_grid_steps3000_R20_v1
voter,2.0,rho_2,,200,0.6,0,3000,1800017,17,0,1.742,,final_dense_eta_grid_steps3000_R20_v1
