model,rho_label,eta,t,realizations,va_mean,va_stdev,va_stderr,S_mean,S_stdev,S_stderr,source_run
vicsek,rho_1_over_pi,3.3999999999999999,2000,20,0.2089625823602726,0.08826885993001955,0.019737517109993104,0.3109375,0.09136283691277323,0.020429351395418797,vicsek_lowrho_dense_eta_grid_steps3000_R20_v1
vicsek,rho_1_over_pi,3.3999999999999999,2050,20,0.18743737409102754,0.1154152724510397,0.025807639484218353,0.3234375,0.10377399948325207,0.023204571714157966,vicsek_lowrho_dense_eta_grid_steps3000_R20_v1
vicsek,rho_1_over_pi,3.3999999999999999,2100,20,0.2676090386252422,0.1096597091785549,0.024520656411610636,0.30625,0.09911719704471066,0.022163279033121427,vicsek_lowrho_dense_eta_grid_steps3000_R20_v1
vicsek,rho_1_over_pi,3.3999999999999999,2150,20,0.24877002385367214,0.12223186983953514,0.027331876997810686,0.315625,0.08143008887997115,0.01820832141494652,vicsek_lowrho_dense_eta_grid_steps3000_R20_v1
vicsek,rho_1_over_pi,3.3999999999999999,2200,20,0.21395830924475612,0.1172344114375776,0.026214411327660232,0.3265625,0.09954731522622798,0.02225945638234456,vicsek_lowrho_dense_eta_grid_steps3000_R20_v1
vicsek,rho_1_over_pi,3.3999999999999999,2250,20,0.21414471894663062,0.11200251727570763,0.025044524227957683,0.3171875,0.08854013479066992,0.019798176012893205,vicsek_lowrho_dense_eta_grid_steps3000_R20_v1
vicsek,rho_1_over_pi,3.3999999999999999,2300,20,0.25237103268204175,0.10342823046689051,0.023127255411648198,0.3234375,0.09696316552562628,0.021681622942886447,vicsek_lowrho_dense_eta_grid_steps3000_R20_v1
vicsek,rho_1_over_pi,3.3999999999999999,2350,20,0.21823210258816034,0.08752816525762455,0.01957189274618839,0.3375,0.11464960204902588,0.025636430377492105,vicsek_lowrho_dense_eta_grid_steps3000_R20_v1
vicsek,rho_1_over_pi,3.3999999999999999,2400,20,0.24060948298691115,0.16082279512581826,0.035961070223285145,0.3265625,0.1057317323169823,0.023642334083958376,vicsek_lowrho_dense_eta_grid_steps3000_R20_v1
vicsek,rho_1_over_pi,3.3999999999999999,2450,20,0.23900273550263346,0.11715962951348002,0.02619768958108319,0.33125,0.11154105185984217,0.02494133742404364,vicsek_lowrho_dense_eta_grid_steps3000_R20_v1
vicsek,rho_1_over_pi,3.3999999999999999,2500,20,0.24983272233589143,0.13327070010296632,0.02980023448392209,0.33125,0.10888282118865217,0.024346938975978068,vicsek_lowrho_dense_eta_grid_steps3000_R20_v1
vicsek,rho_1_over_pi,3.3999999999999999,2550,20,0.18773054530166483,0.08462397936032122,0.01892249703762174,0.3296875,0.1057317323169823,0.023642334083958376,vicsek_lowrho_dense_eta_grid_steps3000_R20_v1
